bas_raw,haystack
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5509/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5511/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5515/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Max CO2 Level","max co2"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/ZCO2_HI","zone co2 max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5516/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5517/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5519/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5701/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5703/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5705/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5707/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5709/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5711/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5713/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5715/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5717/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5719/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5721/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room 5723/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5405/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Run","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Run Request","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/Schedule","cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5411/ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/Max CO2 Level","max co2"
"CMU/SCSC Hillman/Fifth Floor/VAV Room5510/OA Temp","outside air temp sensor"
